parent_asin,title,description,features,categories,retrieval_text
B07V5X1FPH,,,,,.
B00BS4MQ0O,,,,,.
B0072GPQ72,War Horse (Four Disc Combo: Blu-ray/DVD + Digital Copy),"Product Description From legendary director Steven Spielberg comes the epic adventure War Horse , a tale of incredible loyalty, hope, and tenacity. Based on the Tony Award-winning Broadway play, and set against the sweeping canvas of World War I, this deeply heartfelt story begins with the remarkable friendship between a horse named Joey and his young trainer Albert. When they’re forced apart by war, we follow Joey’s extraordinary journey as he changes and inspires the lives of everyone he meets. Filled with spectacularly rich visuals — and complete with never-before-seen bonus features — War Horse is a “Genuine movie masterpiece,” (Rex Reed, The New York Observer) and one of the most powerful and moving stories of friendship ever told. Amazon.com The sheer physical beauty of the horse and the magnificent landscape of rural Devon, England, makes the first section of War Horse a feast for the eyes, as stalwart young lad Albert (Jeremy Irvine, in his film debut) struggles to channel the high-strung energy of newly bought horse Joey into plowing a rocky field. A destructive rainstorm forces Albert's father (Peter Mullan, Boy A ) to sell Joey to an army captain (Tom Hiddleston, Thor ) who takes the horse into the battlefields of World War I. From there, turns of fortune lead Joey into the hands of a German private, a French girl and her grandfather, and then into the cratered no man's land between the warring armies. War Horse is jarringly uneven. Some moments are over-the-top while others are elegantly understated; the tone ranges from the broad comedy of a mid-1970s Disney live-action flick to the raw majesty of a John Ford western. The episodic storytelling doesn't help--the characters don't have time to fully establish themselves in the audience's hearts, despite some excellent performances. The greatest weakness is that director Steven Spielberg doesn't connect us to Joey himself; though it's impossible not to have moments of empathy with the trials of this beautiful animal, at other times the horse is no more than a narrative device, carrying us from one micro-story to another. Still, some episodes are unquestionably compelling (a sequence in which a British and a German soldier collaborate to rescue Joey is particularly good) and, though stylistically all over the place, War Horse is never less than visually stunning. -- Bret Fetzer",,Movies & TV Featured Categories Blu-ray Anime,"War Horse (Four Disc Combo: Blu-ray/DVD + Digital Copy). Product Description From legendary director Steven Spielberg comes the epic adventure War Horse , a tale of incredible loyalty, hope, and tenacity. Based on the Tony Award-winning Broadway play, and set against the sweeping canvas of World War I, this deeply heartfelt story begins with the remarkable friendship between a horse named Joey and his young trainer Albert. When they’re forced apart by war, we follow Joey’s extraordinary journey as he changes and inspires the lives of everyone he meets. Filled with spectacularly rich visuals — and complete with never-before-seen bonus features — War Horse is a “Genuine movie masterpiece,” (Rex Reed, The New York Observer) and one of the most powerful and moving stories of friendship ever told. Amazon.com The sheer physical beauty of the horse and the magnificent landscape of rural Devon, England, makes the first section of War Horse a feast for the eyes, as stalwart young lad Albert (Jeremy Irvine, in his film debut) struggles to channel the high-strung energy of newly bought horse Joey into plowing a rocky field. A destructive rainstorm forces Albert's father (Peter Mullan, Boy A ) to sell Joey to an army captain (Tom Hiddleston, Thor ) who takes the horse into the battlefields of World War I. From there, turns of fortune lead Joey into the hands of a German private, a French girl and her grandfather, and then into the cratered no man's land between the warring armies. War Horse is jarringly uneven. Some moments are over-the-top while others are elegantly understated; the tone ranges from the broad comedy of a mid-1970s Disney live-action flick to the raw majesty of a John Ford western. The episodic storytelling doesn't help--the characters don't have time to fully establish themselves in the audience's hearts, despite some excellent performances. The greatest weakness is that director Steven Spielberg doesn't connect us to Joey himself; though it's impossible not to have moments of empathy with the trials of this beautiful animal, at other times the horse is no more than a narrative device, carrying us from one micro-story to another. Still, some episodes are unquestionably compelling (a sequence in which a British and a German soldier collaborate to rescue Joey is particularly good) and, though stylistically all over the place, War Horse is never less than visually stunning. -- Bret Fetzer  Movies & TV Featured Categories Blu-ray Anime"
B0007YMWFK,Airwolf: Season 1,"Product Description Keep your eyes to the skies for non-stop action as the complete Season One of Airwolf soars on to DVD for the first time ever! Jan-Michael Vincent stars as Stringfellow Hawke, a reclusive renegade pilot who's assigned to top-secret missions for the CIA by the mysterious ""Archangel"" (Alex Cord). Hawke's weapon of choice is the high-tech battle helicopter of the future, Airwolf. Loaded with cutting-edge surveillance equipment and unbelievable firepower, Airwolf takes Hawke and his friend Dominic (Ernest Borgnine) around the globe in search of dangerous international spies and criminals. Ride along with guest stars Lance LeGault, James Whitmore Jr., Shannen Doherty and David Carradine on all 11 episodes, including the thrilling two-hour pilot, of this amazing action-adventure series. Amazon.com Hip spy shows with covert agencies within agencies--like Alias and 24 --are missing only one thing: A super-duper armor-plated helicopter with ""nuclear-tipped shrike missiles."" In the action series Airwolf , a mysterious national security agency called the Firm constructs a ""Mach-one-plus chopper that can kick butt,"" only to have it stolen by the nefarious scientist who designed it (David Hemmings, Blowup , Barbarella ). Desperate, the Firm turns to Stringfellow Hawke (Jan Michael Vincent), a soulful, cello-playing, art-loving, eagle-watching, guilt-ridden master pilot. Hawke refuses to help unless the Firm searches for his brother, who went MIA in 'Nam. Of course, he succeeds in his mission, but until the Firm fulfills its side of the bargain, he keeps the chopper--but also agrees to fly covert missions in exchange for tips about government efforts to retrieve Airwolf. This elaborate setup proves surprisingly durable. The combat scenes in Airwolf are clumsily edited, but the scripts--though firmly in the cheesy techno-thriller vein of Robert Ludlum and Tom Clancy--are pleasantly zippy. While Vincent may have gone on to a straight-to-video career (appearing in such sterling titles as Hidden Obsession , Indecent Behavior , and Animal Instincts ), hes a persuasive and sexy pilot; he's got the same kind of rangy, athletic physicality that makes Kevin Costner convincing as an athlete. Add to this mix the ever-zesty Ernest Borgnine ( Marty , The Wild Bunch ) and it's clear why Airwolf outlived the similar series Blue Thunder . Most episodes feature international skullduggery with foreign agents trying to steal Airwolf and sell it to the Soviets or Libya, but there are enough clever details to keep you from objecting to the larger absurdity of the all-powerful helicopter. Guest stars include Shannen Doherty ( Beverly Hills 90210 ) and David Carradine ( Kill Bill ). It's too bad Hemmings didn't become a regular; his sadistic, lecherous traitor gave the two-hour pilot some real juice. --Bret Fetzer",,Movies & TV Featured Categories DVD Action & Adventure,"Airwolf: Season 1. Product Description Keep your eyes to the skies for non-stop action as the complete Season One of Airwolf soars on to DVD for the first time ever! Jan-Michael Vincent stars as Stringfellow Hawke, a reclusive renegade pilot who's assigned to top-secret missions for the CIA by the mysterious ""Archangel"" (Alex Cord). Hawke's weapon of choice is the high-tech battle helicopter of the future, Airwolf. Loaded with cutting-edge surveillance equipment and unbelievable firepower, Airwolf takes Hawke and his friend Dominic (Ernest Borgnine) around the globe in search of dangerous international spies and criminals. Ride along with guest stars Lance LeGault, James Whitmore Jr., Shannen Doherty and David Carradine on all 11 episodes, including the thrilling two-hour pilot, of this amazing action-adventure series. Amazon.com Hip spy shows with covert agencies within agencies--like Alias and 24 --are missing only one thing: A super-duper armor-plated helicopter with ""nuclear-tipped shrike missiles."" In the action series Airwolf , a mysterious national security agency called the Firm constructs a ""Mach-one-plus chopper that can kick butt,"" only to have it stolen by the nefarious scientist who designed it (David Hemmings, Blowup , Barbarella ). Desperate, the Firm turns to Stringfellow Hawke (Jan Michael Vincent), a soulful, cello-playing, art-loving, eagle-watching, guilt-ridden master pilot. Hawke refuses to help unless the Firm searches for his brother, who went MIA in 'Nam. Of course, he succeeds in his mission, but until the Firm fulfills its side of the bargain, he keeps the chopper--but also agrees to fly covert missions in exchange for tips about government efforts to retrieve Airwolf. This elaborate setup proves surprisingly durable. The combat scenes in Airwolf are clumsily edited, but the scripts--though firmly in the cheesy techno-thriller vein of Robert Ludlum and Tom Clancy--are pleasantly zippy. While Vincent may have gone on to a straight-to-video career (appearing in such sterling titles as Hidden Obsession , Indecent Behavior , and Animal Instincts ), hes a persuasive and sexy pilot; he's got the same kind of rangy, athletic physicality that makes Kevin Costner convincing as an athlete. Add to this mix the ever-zesty Ernest Borgnine ( Marty , The Wild Bunch ) and it's clear why Airwolf outlived the similar series Blue Thunder . Most episodes feature international skullduggery with foreign agents trying to steal Airwolf and sell it to the Soviets or Libya, but there are enough clever details to keep you from objecting to the larger absurdity of the all-powerful helicopter. Guest stars include Shannen Doherty ( Beverly Hills 90210 ) and David Carradine ( Kill Bill ). It's too bad Hemmings didn't become a regular; his sadistic, lecherous traitor gave the two-hour pilot some real juice. --Bret Fetzer  Movies & TV Featured Categories DVD Action & Adventure"
B08113WVBS,,,,,.
B003PIUC02,Spartacus: Blood and Sand: Season 1 [Blu-ray],"Betrayed by the Romans. Forced into slavery. Reborn as a Gladiator. The classic tale of the Republic’s most infamous rebel comes alive in the graphic and visceral new series, Spartacus: Blood and Sand . Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment. But not all battles are fought upon the sands. Treachery, corruption, and the allure of sensual pleasures will constantly test Spartacus. To survive, he must become more than a man. More than a gladiator. He must become a legend.",,Movies & TV Featured Categories Blu-ray Action & Adventure,"Spartacus: Blood and Sand: Season 1 [Blu-ray]. Betrayed by the Romans. Forced into slavery. Reborn as a Gladiator. The classic tale of the Republic’s most infamous rebel comes alive in the graphic and visceral new series, Spartacus: Blood and Sand . Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment. But not all battles are fought upon the sands. Treachery, corruption, and the allure of sensual pleasures will constantly test Spartacus. To survive, he must become more than a man. More than a gladiator. He must become a legend.  Movies & TV Featured Categories Blu-ray Action & Adventure"
B000EZ7ZZO,XXX [Blu-ray],"Product Description From Revolution Studios and and Sony Pictures, Xander Cage (Vin Diesel) is a notorious underground thrill-seeker who, until now, has been deemed untouchable by the law. But when crack NSA Agent Gibbsons convinces Cage to infiltrate a ruthless Russian crime ring, this new breed of secret agent (codename: XXX) takes down the enemies of justice with a vengeance in this high-octane, turbo-charged thrill-ride from the acclaimed director of The Fast and the Furious. Synopsis for 15th Anniversary Edition Xander Cage (Vin Diesel) is a notorious underground thrill-seeker who, until now, has been deemed untouchable by the law. But when crack NSA Agent Gibbons convinces Cage to infiltrate a ruthless Russian crime ring, this new breed of secret agent (codename: xXx) takes down the enemies of justice with a vengeance in this high-octane, turbo-charged thrill-ride from the acclaimed director of The Fast and the Furious. Amazon.com Vin Diesel is no James Bond, and he doesn't want to be. That's why XXX announced Diesel as the adrenalin-junkie Bond of the PlayStation generation, copying the Bond formula so shamelessly that this action-packed silliness would be a Bond movie if it starred Pierce Brosnan. Reuniting Diesel with his Fast and the Furious director Rob Cohen, XXX has an attitude (if not a brain) all its own, plucking Diesel's Xander Cage from his celebrity as an extreme sports renegade, recruited by a National Security Agency big shot (Samuel L. Jackson) to foil a nasty Czech villain (Marton Csokas) who's eager to depopulate Prague with remote-controlled biological weaponry. Toss in a sulky, sultry Russian agent (Asia Argento) and you've got extreme Bond-age for anyone who thinks tuxedos are passé. With a handful of eye-popping action sequences, XXX launched a movie franchise with a cool guy, another cool muscle car, and plenty of box-office sizzle. --Jeff Shannon",,Movies & TV Featured Categories Blu-ray Action & Adventure,"XXX [Blu-ray]. Product Description From Revolution Studios and and Sony Pictures, Xander Cage (Vin Diesel) is a notorious underground thrill-seeker who, until now, has been deemed untouchable by the law. But when crack NSA Agent Gibbsons convinces Cage to infiltrate a ruthless Russian crime ring, this new breed of secret agent (codename: XXX) takes down the enemies of justice with a vengeance in this high-octane, turbo-charged thrill-ride from the acclaimed director of The Fast and the Furious. Synopsis for 15th Anniversary Edition Xander Cage (Vin Diesel) is a notorious underground thrill-seeker who, until now, has been deemed untouchable by the law. But when crack NSA Agent Gibbons convinces Cage to infiltrate a ruthless Russian crime ring, this new breed of secret agent (codename: xXx) takes down the enemies of justice with a vengeance in this high-octane, turbo-charged thrill-ride from the acclaimed director of The Fast and the Furious. Amazon.com Vin Diesel is no James Bond, and he doesn't want to be. That's why XXX announced Diesel as the adrenalin-junkie Bond of the PlayStation generation, copying the Bond formula so shamelessly that this action-packed silliness would be a Bond movie if it starred Pierce Brosnan. Reuniting Diesel with his Fast and the Furious director Rob Cohen, XXX has an attitude (if not a brain) all its own, plucking Diesel's Xander Cage from his celebrity as an extreme sports renegade, recruited by a National Security Agency big shot (Samuel L. Jackson) to foil a nasty Czech villain (Marton Csokas) who's eager to depopulate Prague with remote-controlled biological weaponry. Toss in a sulky, sultry Russian agent (Asia Argento) and you've got extreme Bond-age for anyone who thinks tuxedos are passé. With a handful of eye-popping action sequences, XXX launched a movie franchise with a cool guy, another cool muscle car, and plenty of box-office sizzle. --Jeff Shannon  Movies & TV Featured Categories Blu-ray Action & Adventure"
B00BBJZHIY,,,,,.
B000087F7J,X-Men: Evolution - Mutants Rising [DVD],,,Movies & TV Studio Specials Warner Home Video All Titles,X-Men: Evolution - Mutants Rising [DVD].   Movies & TV Studio Specials Warner Home Video All Titles
B010AI9YCG,,,,,.
B01L3F61RQ,,,,,.
B07T44VDSM,,,,,.
B07QKVVKQH,Space: 1999 - The Complete Series,,,Movies & TV Featured Categories Blu-ray Science Fiction,Space: 1999 - The Complete Series.   Movies & TV Featured Categories Blu-ray Science Fiction
B00DP1D8NM,Hell'S Kitchen Season 9,"Eighteen excited new chefs compete to be the winner of Hell's Kitchen. This season's prize - the position of head chef at BLT Steak in New York City, and a salary of $250,000.",,Movies & TV Featured Categories DVD,"Hell'S Kitchen Season 9. Eighteen excited new chefs compete to be the winner of Hell's Kitchen. This season's prize - the position of head chef at BLT Steak in New York City, and a salary of $250,000.  Movies & TV Featured Categories DVD"
B07FCSYS8G,,,,,.
B01489N3YS,,,,,.
B0002J58ME,10 Minute Solution: Pilates,Originally released in 2004. Directed by Andrea Ambandos. Starring Lara Hudson.,,Movies & TV Featured Categories DVD Exercise & Fitness,10 Minute Solution: Pilates. Originally released in 2004. Directed by Andrea Ambandos. Starring Lara Hudson.  Movies & TV Featured Categories DVD Exercise & Fitness
B071G3WT3H,The Lion King 2: Simba's Pride,"The power and majesty of the Pride Lands return as the next chapter of THE LION KING is revealed for a new generation -- now brilliantly presented on Digital HD for the first time ever! Now that Simba is king, he must fairly rule his kingdom -- and his headstrong daughter, Kiara! Although she and her mischievous friend Kovu are on the prowl for adventure, they also seek to heal the rift between their prides as they take their rightful places in the ""Circle of Life."" Featuring the spectacularly talented original voice cast and joyful music, this enchanting animated adventure is a celebration of humor, heart and the importance of family.",,Movies & TV Featured Categories Blu-ray Action & Adventure,"The Lion King 2: Simba's Pride. The power and majesty of the Pride Lands return as the next chapter of THE LION KING is revealed for a new generation -- now brilliantly presented on Digital HD for the first time ever! Now that Simba is king, he must fairly rule his kingdom -- and his headstrong daughter, Kiara! Although she and her mischievous friend Kovu are on the prowl for adventure, they also seek to heal the rift between their prides as they take their rightful places in the ""Circle of Life."" Featuring the spectacularly talented original voice cast and joyful music, this enchanting animated adventure is a celebration of humor, heart and the importance of family.  Movies & TV Featured Categories Blu-ray Action & Adventure"
B0014BQQYS,Butch Cassidy and the Sundance Kid,"Paul Newman, Robert Redford, Katharine Ross. The legendary adventures of the two infamous outlaws as they rob banks along the Mexican border and flee to South America while being pursued by a U.S. Marshal and his posse. 1969/color/110 min/PG.",,Movies & TV Featured Categories Blu-ray Westerns,"Butch Cassidy and the Sundance Kid. Paul Newman, Robert Redford, Katharine Ross. The legendary adventures of the two infamous outlaws as they rob banks along the Mexican border and flee to South America while being pursued by a U.S. Marshal and his posse. 1969/color/110 min/PG.  Movies & TV Featured Categories Blu-ray Westerns"
B000NVT0PC,Blue Submarine No. 6: Anime Legends Complete Collection [DVD],"It is the future, and the world is getting smaller by the second. As a result of the machinations of the rogue scientist Zorndyke, all land and sea level has begun to succumb to the expanding ocean tides. Billions have died, and mankind is now at war with Zorndyke's army of water dwelling hybrids. Mankind's last hopes lie within an international fleet of submarines and the vessel, Hayami. Together, they and the rest of blue fleet must launch an attack on Zorndyke's base of operations in Antarctica before he floods the rest of the world's remaining landmass. From Studio Gonzo. Includes a bonus disc loaded with extras! Genre: Action/Drama/Sci-Fi.",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Blue Submarine No. 6: Anime Legends Complete Collection [DVD]. It is the future, and the world is getting smaller by the second. As a result of the machinations of the rogue scientist Zorndyke, all land and sea level has begun to succumb to the expanding ocean tides. Billions have died, and mankind is now at war with Zorndyke's army of water dwelling hybrids. Mankind's last hopes lie within an international fleet of submarines and the vessel, Hayami. Together, they and the rest of blue fleet must launch an attack on Zorndyke's base of operations in Antarctica before he floods the rest of the world's remaining landmass. From Studio Gonzo. Includes a bonus disc loaded with extras! Genre: Action/Drama/Sci-Fi.  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B003RFYG7I,,,,,.
B004LWZWA6,We Bought a Zoo,"Acclaimed filmmaker Cameron Crowe (Jerry Maguire, Almost Famous) directs an amazing and true story about a single dad who decides his family needs a fresh start, so he and his two children move to the most unlikely of places: a zoo. With the help of an eclectic staff, and with many misadventures along the way, the family works to return the dilapidated zoo to its former wonder and glory.",,Movies & TV Featured Categories Blu-ray Comedy,"We Bought a Zoo. Acclaimed filmmaker Cameron Crowe (Jerry Maguire, Almost Famous) directs an amazing and true story about a single dad who decides his family needs a fresh start, so he and his two children move to the most unlikely of places: a zoo. With the help of an eclectic staff, and with many misadventures along the way, the family works to return the dilapidated zoo to its former wonder and glory.  Movies & TV Featured Categories Blu-ray Comedy"
B00RSGIVVO,,,,,.
1620336030,Weaving Rep,Learn how to weave rep and design your own rep block patterns with this weaving workshop with Rosalie Neilson.,,Movies & TV Featured Categories DVD,Weaving Rep. Learn how to weave rep and design your own rep block patterns with this weaving workshop with Rosalie Neilson.  Movies & TV Featured Categories DVD
1632505991,Learn to Weave - Making Good Cloth on a Multi-Shaft Loom,"From project planning to warping to weaving good cloth, there's so much to learn about weaving on a multi-shaft loom. Over decades of teaching, master weaver Tom Knisely has taken hundreds of students successfully through their first steps to becoming creative, confident weavers. Now this friendly video brings Tom into your studio, where he takes you through a first weaving project, from yarn to cloth. You'll learn all the basics, along with some professional weaver tips that will give you a head start on weaving well. In this video, you'll learn: The basics of multi-shaft looms and how they work The basics of multi-shaft looms and how they work How to plan a project using your chosen yarn How to plan a project using your chosen yarn How to warp comfortably and accurately How to warp comfortably and accurately Weaving tips for good selvedges and great cloth Weaving tips for good selvedges and great cloth How to finish your newly woven fabric How to finish your newly woven fabric The video also includes a handout with weaving terms, notes, and a starter project from Weaving Today . Tom makes it all so simple and stress free, you and your loom will be creating beautiful cloth in no time!",,Movies & TV Featured Categories DVD,"Learn to Weave - Making Good Cloth on a Multi-Shaft Loom. From project planning to warping to weaving good cloth, there's so much to learn about weaving on a multi-shaft loom. Over decades of teaching, master weaver Tom Knisely has taken hundreds of students successfully through their first steps to becoming creative, confident weavers. Now this friendly video brings Tom into your studio, where he takes you through a first weaving project, from yarn to cloth. You'll learn all the basics, along with some professional weaver tips that will give you a head start on weaving well. In this video, you'll learn: The basics of multi-shaft looms and how they work The basics of multi-shaft looms and how they work How to plan a project using your chosen yarn How to plan a project using your chosen yarn How to warp comfortably and accurately How to warp comfortably and accurately Weaving tips for good selvedges and great cloth Weaving tips for good selvedges and great cloth How to finish your newly woven fabric How to finish your newly woven fabric The video also includes a handout with weaving terms, notes, and a starter project from Weaving Today . Tom makes it all so simple and stress free, you and your loom will be creating beautiful cloth in no time!  Movies & TV Featured Categories DVD"
B0000WN0XM,X-Men: Evolution - Powers Revealed,"This great collection includes four X-Men Revolution episodes: 1) The Beast of Bayville: In an attempt to quell his growing animal instincts, Bayville High Teacher Hank McCoy tests a serum on himself, and unleashes the beast within. 2) Adrift: During Scott's visit to Hawaii, he attempts to rescue his brother, Alex, who has been pulled out to sea on his surfboard during a terrible storm. 3) On Angel's Wings: A new mutant appears in New York during the Christmas holiday. Angel (Warren K. Worthington III), wants to be the guardian angel of the city, and publicly help people. But his actions are bringing unwanted attention. 4) African Storm: Just as Evan's slacker attitude prompts the decision to send him back tohis parents, Storm's state of mind is questioned when she hallucinates that ghostly shadows are haunting her. Or perhaps she's not hallucinating.... DVD Features: Featurette Theatrical Trailer",,Movies & TV Studio Specials Warner Home Video All Titles,"X-Men: Evolution - Powers Revealed. This great collection includes four X-Men Revolution episodes: 1) The Beast of Bayville: In an attempt to quell his growing animal instincts, Bayville High Teacher Hank McCoy tests a serum on himself, and unleashes the beast within. 2) Adrift: During Scott's visit to Hawaii, he attempts to rescue his brother, Alex, who has been pulled out to sea on his surfboard during a terrible storm. 3) On Angel's Wings: A new mutant appears in New York during the Christmas holiday. Angel (Warren K. Worthington III), wants to be the guardian angel of the city, and publicly help people. But his actions are bringing unwanted attention. 4) African Storm: Just as Evan's slacker attitude prompts the decision to send him back tohis parents, Storm's state of mind is questioned when she hallucinates that ghostly shadows are haunting her. Or perhaps she's not hallucinating.... DVD Features: Featurette Theatrical Trailer  Movies & TV Studio Specials Warner Home Video All Titles"
6305168857,Young Frankenstein (Special Edition),"Product description Features new behind-the-scenes footage, bloopers, and outtakes, including the reading of the Frankenstein will in Transylvania, an ""intellectual discussion"" between Dr. Frankenstein (Gene Wilder) and Inga (Teri Garr), the monster's encounter with highwaym Amazon.com If you were to argue that Mel Brooks's Young Frankenstein ranks among the top-ten funniest movies of all time, nobody could reasonably dispute the claim. Spoofing classic horror in the way that Brooks's previous film Blazing Saddles sent up classic Westerns, the movie is both a loving tribute and a raucous, irreverent parody of Universal's classic horror films Frankenstein (1931) and Bride of Frankenstein (1935). Filming in glorious black and white, Brooks re-created the Frankenstein laboratory using the same equipment from the original Frankenstein (courtesy of designer Kenneth Strickfaden), and this loving attention to physical and stylistic detail creates a solid foundation for nonstop comedy. The story, of course, involves Frederick Frankenstein (Gene Wilder) and his effort to resume experiments in re-animation pioneered by his late father. (He's got some help, since dad left behind a book titled How I Did It. ) Assisting him is the hapless hunchback Igor (Marty Feldman) and the buxom but none-too-bright maiden Inga (Teri Garr), and when Frankenstein succeeds in creating his monster (Peter Boyle), the stage is set for an outrageous revision of the Frankenstein legend. With comedy highlights too numerous to mention, Brooks guides his brilliant cast (also including Cloris Leachman, Madeline Kahn, Kenneth Mars, and Gene Hackman in a classic cameo role) through scene after scene of inspired hilarity. Indeed, Young Frankenstein is a charmed film, nothing less than a comedy classic, representing the finest work from everyone involved. Not one joke has lost its payoff, and none of the countless gags have lost their zany appeal. From a career that includes some of the best comedies ever made, this is the film for which Mel Brooks will be most fondly remembered. Befitting a classic, the Special Edition DVD includes audio commentary by Mel Brooks, a ""making of"" documentary, interviews with the cast, hilarious bloopers and outtakes, and the original theatrical trailers. No video library should be without a copy of Young Frankenstein . And just remember--that's Fronkensteen . --Jeff Shannon Beyond Young Frankenstein High Anxiety Spaceballs Blazing Saddles Stills from Young Frankenstein (Click for larger image)",,Movies & TV Studio Specials 20th Century Fox Home Entertainment All Fox Titles,"Young Frankenstein (Special Edition). Product description Features new behind-the-scenes footage, bloopers, and outtakes, including the reading of the Frankenstein will in Transylvania, an ""intellectual discussion"" between Dr. Frankenstein (Gene Wilder) and Inga (Teri Garr), the monster's encounter with highwaym Amazon.com If you were to argue that Mel Brooks's Young Frankenstein ranks among the top-ten funniest movies of all time, nobody could reasonably dispute the claim. Spoofing classic horror in the way that Brooks's previous film Blazing Saddles sent up classic Westerns, the movie is both a loving tribute and a raucous, irreverent parody of Universal's classic horror films Frankenstein (1931) and Bride of Frankenstein (1935). Filming in glorious black and white, Brooks re-created the Frankenstein laboratory using the same equipment from the original Frankenstein (courtesy of designer Kenneth Strickfaden), and this loving attention to physical and stylistic detail creates a solid foundation for nonstop comedy. The story, of course, involves Frederick Frankenstein (Gene Wilder) and his effort to resume experiments in re-animation pioneered by his late father. (He's got some help, since dad left behind a book titled How I Did It. ) Assisting him is the hapless hunchback Igor (Marty Feldman) and the buxom but none-too-bright maiden Inga (Teri Garr), and when Frankenstein succeeds in creating his monster (Peter Boyle), the stage is set for an outrageous revision of the Frankenstein legend. With comedy highlights too numerous to mention, Brooks guides his brilliant cast (also including Cloris Leachman, Madeline Kahn, Kenneth Mars, and Gene Hackman in a classic cameo role) through scene after scene of inspired hilarity. Indeed, Young Frankenstein is a charmed film, nothing less than a comedy classic, representing the finest work from everyone involved. Not one joke has lost its payoff, and none of the countless gags have lost their zany appeal. From a career that includes some of the best comedies ever made, this is the film for which Mel Brooks will be most fondly remembered. Befitting a classic, the Special Edition DVD includes audio commentary by Mel Brooks, a ""making of"" documentary, interviews with the cast, hilarious bloopers and outtakes, and the original theatrical trailers. No video library should be without a copy of Young Frankenstein . And just remember--that's Fronkensteen . --Jeff Shannon Beyond Young Frankenstein High Anxiety Spaceballs Blazing Saddles Stills from Young Frankenstein (Click for larger image)  Movies & TV Studio Specials 20th Century Fox Home Entertainment All Fox Titles"
B0016MJ6HY,My Blueberry Nights (The Miriam Collection),"With his first English-language film, beloved Hong Kong director Wong Kar-wai's touch loses none of the seductive luster and magic that made his Chinese films so popular. MY BLUEBERRY NIGHTS follows the fortunes of Elizabeth (Norah Jones), who after having been left by her boyfriend, sets out across America to find herself and recover. She makes a stop in Memphis, where she pulls double-duty at a diner by day and a bar at night, and watches the disintegration of another pair of troubled lovers (David Strathairn and Rachel Weisz). She moves on to Nevada where she befriends a vivacious card player and smalltime hustler (a delightfully saucy Natalie Portman) who challenges her notions of contentment. Director Kar-Wai Wong Star Norah Jones, Jude Law, David Strathairn, Natalie Portman, Rachel Weisz Special Features: Full Frame - 1.33 Audio: Unspecified - English Subtitles - Spanish Optional.",,Movies & TV Featured Categories DVD Comedy,"My Blueberry Nights (The Miriam Collection). With his first English-language film, beloved Hong Kong director Wong Kar-wai's touch loses none of the seductive luster and magic that made his Chinese films so popular. MY BLUEBERRY NIGHTS follows the fortunes of Elizabeth (Norah Jones), who after having been left by her boyfriend, sets out across America to find herself and recover. She makes a stop in Memphis, where she pulls double-duty at a diner by day and a bar at night, and watches the disintegration of another pair of troubled lovers (David Strathairn and Rachel Weisz). She moves on to Nevada where she befriends a vivacious card player and smalltime hustler (a delightfully saucy Natalie Portman) who challenges her notions of contentment. Director Kar-Wai Wong Star Norah Jones, Jude Law, David Strathairn, Natalie Portman, Rachel Weisz Special Features: Full Frame - 1.33 Audio: Unspecified - English Subtitles - Spanish Optional.  Movies & TV Featured Categories DVD Comedy"
B09M14D9FZ,,,,,.
B01A03YANE,,,,,.
